DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,Lattitude,Longitude
Adilabad,TELANGANA,1,101,532,19.26,78.97
Agra,UTTAR PRADESH,26,2601,146,27.04,78.08
Ahmadabad,GUJARAT,7,701,474,22.71,72.2
Ahmadnagar,MAHARASHTRA,15,1501,522,19.2,74.68
Aizawl,MIZORAM,18,1801,283,23.81,92.89
Ajmer,RAJASTHAN,22,2201,119,26.24,74.8
Akola,MAHARASHTRA,15,1502,501,20.75,77.05
Alappuzha,KERALA,13,1301,598,9.42,76.45
Aligarh,UTTAR PRADESH,26,2602,143,27.93,78.08
Alirajpur,MADHYA PRADESH,14,1449,465,22.31,74.36
Allahabad,UTTAR PRADESH,26,2603,175,25.3,81.97
Almora,UTTARAKHAND,27,2701,64,29.69,79.5
Alwar,RAJASTHAN,22,2202,104,27.59,76.61
Ambala,HARYANA,8,801,70,30.33,76.95
Ambedkar Nagar,UTTAR PRADESH,26,2604,178,26.42,82.67
Amravati,MAHARASHTRA,15,1503,503,21.19,77.57
Amreli,GUJARAT,7,702,480,21.42,71.25
Amritsar,PUNJAB,21,2101,49,31.7,74.9
Anand,GUJARAT,7,703,482,22.45,72.79
Anantapur,ANDHRA PRADESH,1,102,553,14.48,77.58
Anantnag,JAMMU & KASHMIR,10,1024,14,33.82,75.36
Anjaw,ARUNACHAL PRADESH,2,216,260,28.07,96.83
Anugul,ODISHA,20,2001,384,20.99,84.91
Anuppur,MADHYA PRADESH,14,1401,461,23.06,81.68
Araria,BIHAR,4,401,209,26.2,87.35
Ariyalur,TAMIL NADU,24,2401,616,11.16,79.24
Ashoknagar,MADHYA PRADESH,14,1402,459,24.61,77.88
Auraiya,UTTAR PRADESH,26,2605,162,26.66,79.48
Aurangabad,BIHAR,4,403,235,24.79,84.41
Aurangabad,MAHARASHTRA,15,1504,515,20.02,75.27
Azamgarh,UTTAR PRADESH,26,2606,191,26.05,83.07
Badgam,JAMMU & KASHMIR,10,1002,2,33.89,74.66
Bagalkot,KARNATAKA,12,1201,556,16.22,75.63
Bageshwar,UTTARAKHAND,27,2702,63,29.99,79.86
Baghpat,UTTAR PRADESH,26,2672,139,29.06,77.31
Bahraich,UTTAR PRADESH,26,2608,180,27.74,81.45
Baksa,ASSAM,3,324,324,26.66,91.35
Balaghat,MADHYA PRADESH,14,1403,457,21.88,80.36
Balangir,ODISHA,20,2002,393,20.59,83.17
Baleshwar,ODISHA,20,2003,377,21.49,86.92
Ballia,UTTAR PRADESH,26,2610,193,25.88,84.11
Balrampur,UTTAR PRADESH,26,2609,182,27.48,82.38
Banas Kantha,GUJARAT,7,704,469,24.28,72.03
Banda,UTTAR PRADESH,26,2611,170,25.46,80.56
Bandipore,JAMMU & KASHMIR,10,1016,9,34.5,74.83
Bangalore Rural,KARNATAKA,12,1202,583,13.23,77.58
Bangalore,KARNATAKA,12,1203,572,12.95,77.6
Banka,BIHAR,4,404,225,24.85,86.84
Bankura,WEST BENGAL,28,2801,339,23.14,87.13
Banswara,RAJASTHAN,22,2203,125,23.48,74.36
Bara Banki,UTTAR PRADESH,26,2612,176,26.94,81.33
Bargarh,ODISHA,20,2004,370,21.22,83.35
Baramula,JAMMU & KASHMIR,10,1003,8,34.16,74.46
Baran,RAJASTHAN,22,2204,128,25,76.76
Barddhaman,WEST BENGAL,28,2802,335,23.43,87.77
Bareilly,UTTAR PRADESH,26,2613,150,28.45,79.42
Barmer,RAJASTHAN,22,2205,115,25.74,71.47
Barnala,PUNJAB,21,2118,54,30.4,75.5
Barpeta,ASSAM,3,301,303,26.34,91.01
Barwani,MADHYA PRADESH,14,1405,441,21.79,75.02
Bastar,CHATTISGARH,5,501,414,19.42,81.77
Basti,UTTAR PRADESH,26,2614,185,26.82,82.63
Bathinda,PUNJAB,21,2102,46,30.18,75.04
Baudh,ODISHA,20,2005,391,20.65,84.18
Begusarai,BIHAR,4,405,222,25.5,86.13
Belgaum,KARNATAKA,12,1204,555,16.12,74.82
Bellary,KARNATAKA,12,1205,565,15.11,76.53
Betul,MADHYA PRADESH,14,1404,447,21.88,77.87
Bhadrak,ODISHA,20,2006,378,20.99,86.63
Bhagalpur,BIHAR,4,406,224,25.27,87.08
Bhandara,MAHARASHTRA,15,1505,506,21.13,79.75
Bharatpur,RAJASTHAN,22,2206,105,27.25,77.28
Bharuch,GUJARAT,7,705,488,21.79,72.93
Bhavnagar,GUJARAT,7,706,481,21.67,71.84
Bhilwara,RAJASTHAN,22,2207,122,25.48,74.73
Bhind,MADHYA PRADESH,14,1406,420,26.42,78.72
Bhiwani,HARYANA,8,802,81,28.72,75.97
Bhojpur,BIHAR,4,407,231,25.47,84.54
Bhopal,MADHYA PRADESH,14,1407,444,23.48,77.4
Bid,MAHARASHTRA,15,1506,523,18.93,75.87
Bidar,KARNATAKA,12,1206,558,17.95,77.23
Bijapur,CHATTISGARH,5,1207,417,18.84,80.78
Bijapur,KARNATAKA,12,1207,557,16.79,75.95
Bijnor,UTTAR PRADESH,26,2615,134,29.39,78.4
Bikaner,RAJASTHAN,22,2208,101,28.18,73.18
Bilaspur,CHATTISGARH,5,510,406,22.35,81.96
Bilaspur,HIMACHAL PRADESH,9,912,30,31.37,76.67
Birbhum,WEST BENGAL,28,2803,334,23.95,87.67
Bishnupur,MANIPUR,16,1601,275,24.54,93.8
Bokaro,JHARKHAND,11,1101,355,23.69,85.99
Bongaigaon,ASSAM,3,302,319,26.37,90.62
Budaun,UTTAR PRADESH,26,2616,149,28.12,78.95
Bulandshahr,UTTAR PRADESH,26,2673,142,28.36,78.01
Buldana,MAHARASHTRA,15,1507,500,20.51,76.41
Bundi,RAJASTHAN,22,2209,121,25.47,75.78
Burhanpur,MADHYA PRADESH,14,1408,467,21.37,76.37
Buxar,BIHAR,4,408,232,25.49,84.1
Cachar,ASSAM,3,303,316,24.81,92.86
Central,NCT OF DELHI,33,3305,95,28.64,77.22
Chamba,HIMACHAL PRADESH,9,911,23,32.68,76.35
Chamoli,UTTARAKHAND,27,2703,57,30.5,79.58
Champawat,UTTARAKHAND,27,2704,65,29.3,80.07
Champhai,MIZORAM,18,1802,284,23.53,93.24
Chamarajanagar,KARNATAKA,12,1208,578,11.96,77.1
