"id","State","District","Lat","Long","Month","Year","Outbreaks","pop"
179,"MAHARASHTRA","Ahmadnagar",19.2148,74.3646,2,2021,1,4027
14,"MAHARASHTRA","Jalgaon",20.668692,75.3491361,4,2006,1,20
195,"MAHARASHTRA","Latur",18.3934,77.1131,2,2021,1,727
118,"ODISHA","Khordha",20.2899,85.8102,2,2012,1,1880
229,"MAHARASHTRA","Bid",18.8009,75.4846,1,2021,1,279
244,"KERALA","Alappuzha",9.3779,76.3573,12,2022,1,318
292,"ODISHA","Puri",19.94279375,85.86841269,8,2024,1,136
153,"BIHAR","Patna",25.59945,85.09889,12,2018,1,1
90,"ASSAM","Kamrup",26.2379,91.7198,12,2008,1,3287
91,"ASSAM","Dibrugarh",27.4857,94.9081,12,2008,1,1295
256,"KERALA","Kottayam",9.5851,76.4838,12,2022,1,3648
197,"MAHARASHTRA","Nashik",19.9975,73.7898,2,2021,1,180
284,"KERALA","Kottayam",9.598308,76.58642,5,2024,1,2039
137,"ODISHA","Khordha",20.2422,85.5638,12,2016,1,2294
26,"MAHARASHTRA","Jalgaon",20.8102,75.9049,4,2006,1,541
7,"MAHARASHTRA","Jalgaon",20.916705,75.333295,3,2006,1,59
280,"KERALA","Idukki",9.940195529,76.93549944,6,2024,1,250
254,"KERALA","Alappuzha",9.3535,76.4305,11,2022,1,211
211,"MADHYA PRADESH","Katni",23.9048,80.1403,3,2020,1,331
78,"TRIPURA","Dhalai",24.0126,91.8355,4,2008,1,6312
81,"WEST BENGAL","Darjiling",26.8821,88.2789,5,2008,1,8680
43,"WEST BENGAL","Bankura",23.5639,87.1071,1,2008,1,160
143,"UTTAR PRADESH","Mahrajganj",27.44694444,83.41638889,3,2018,1,9
32,"WEST BENGAL","Dakshin Dinajpur",25.2373,88.7831,1,2008,1,509
109,"WEST BENGAL","Uttar Dinajpur",26.377,88.3118,3,2009,1,1803
263,"KERALA","Kottayam",9.7464,76.3926,1,2023,1,581
23,"MAHARASHTRA","Jalgaon",21.1743987,75.6280853,4,2006,1,210
135,"TRIPURA","West Tripura",23.8919,91.2771,1,2016,1,2781
224,"KERALA","Alappuzha",9.515,76.3927,1,2021,1,1090
166,"BIHAR","Jehanabad",25.216151,84.996358,2,2019,1,525
217,"MAHARASHTRA","Ahmadnagar",18.3335,77.0622,1,2021,1,98
69,"WEST BENGAL","Birbhum",23.9129,87.5268,1,2008,1,475
72,"WEST BENGAL","Murshidabad",24.4587,88.0613,3,2008,1,370
76,"WEST BENGAL","Jalpaiguri",26.5289,88.7259,3,2008,1,1303
63,"WEST BENGAL","South Twenty Four Parganas",22.3104,88.6579,1,2008,1,4791
141,"ODISHA","Anugul",20.8444,85.1511,1,2017,1,2115
210,"MADHYA PRADESH","Bhind",26.4929,78.6141,3,2020,1,2
97,"ASSAM","Kamrup",26.09961,91.11521,12,2008,1,1290
249,"KERALA","Alappuzha",9.3107,76.4305,11,2022,1,2005
281,"KERALA","Idukki",9.940195529,76.93549944,6,2024,1,250
286,"KERALA","Kottayam",9.774180724,76.39511618,6,2024,1,2985
38,"WEST BENGAL","Birbhum",24.06503,87.55296,1,2008,1,1333
21,"MAHARASHTRA","Jalgaon",21.0363,76.0472,4,2006,1,100
207,"KERALA","Alappuzha",9.4444,76.4029,12,2020,1,678
41,"WEST BENGAL","Barddhaman",23.4613,88.3324,1,2008,1,6987
175,"KERALA","Malappuram",11.2076,75.8204,3,2020,1,1230
285,"KERALA","Kottayam",9.42268,76.58636,5,2024,1,15345
60,"WEST BENGAL","Koch Bihar",26.3727,89.2153,1,2008,1,3215
223,"KERALA","Alappuzha",9.515,76.3927,1,2021,1,744
16,"MAHARASHTRA","Jalgaon",20.45816,75.003059,4,2006,1,14
116,"ODISHA","Khordha",20.2422,85.5638,1,2012,1,2294
94,"ASSAM","Bongaigaon",26.2445,90.462,12,2008,1,336
6,"MAHARASHTRA","Jalgaon",20.926579,75.332474,3,2006,1,1081
235,"MAHARASHTRA","Hingoli",18.3934,77.1131,2,2021,1,242
200,"MAHARASHTRA","Thane",19.4521,73.328,2,2022,1,3865
86,"ASSAM","Barpeta",26.5455,91.0013,11,2008,1,4292
238,"MAHARASHTRA","Pune",18.4471,73.8102,3,2021,1,321
39,"WEST BENGAL","Birbhum",23.96545,87.545,1,2008,1,1055
159,"BIHAR","Patna",25.372,85.482,1,2019,1,1
209,"KERALA","Alappuzha",9.3707,76.4115,12,2020,1,776
290,"ODISHA","Puri",20.09772107,85.72782359,9,2024,1,313
50,"WEST BENGAL","Murshidabad",23.9468,88.0497,1,2008,1,620
34,"WEST BENGAL","Nadia",23.7144514,88.5427708,1,2008,1,1926
